speaker,text,video_id
teacher,Work it out. I wanna see it on here. Tell me actually how much time he actually spent. See if you can figure it out. If he spent how much minutes is in an hour.,706
student,"Yeah, we gotta put a decimal and then change it to ??",706
teacher,"Figure it out. Let's see if you can come up with. I'll tell you what, if you come up with the right answer, I'll move you all the blue.",706
student,Yeah.,706
student,Color it.,706
teacher,"You gotta come up with the right answer first and you have to show me how you got there, too. I'm gonna go a little bit further and get the right answer. Have you guys ever seen gallon man?",706
multiple students,No.,706
teacher,"Gallon man, big G. That's a gallon. Now I wanna see if you can convert. Let me give you some information here. There are ?? if you remember to look at this. There are four quarts inside a gallon.",706
student,We had something like that but it was called like the [inaudible] gallon monster.,706
teacher,"Gallon monster, same sort of thing then, right?",706
student,Yeah.,706
teacher,"There are two pints in each quart. And then there are two cups in one pint and little c's. This is a way to remember conversions. Now, you are telling me that he has five eighths of a gallon left, right?",706
student,Yes.,706
teacher,See if you can tell me how much that is and if you get the answer right I'll move you all to blue.,706
student,I have [inaudible].,706
student,[Inaudible] color.,706
student,"No, you already colored it.",706
student,You can finish it. It's already colored.,706
student,Is this correct or not correct?,706
teacher,It is correct. You did a very good job.,706
student,I'll color next time.,706
teacher,You did very good. Very impressed. How are we doing?,706
student,Fine.,706
student,Pretty good.,706
teacher,Doing pretty well. Let's do a time check. Did you guys come up with it? So we're out of time for this. Now what I want you to do is I want you to hopefully the other side of your paper is clean. Is it clean?,706
multiple students,Yeah.,706
multiple students,No.,706
teacher,Do you need a new sheet of paper?,706
multiple students,Yeah.,706
teacher,"If you would like a new sheet of paper, come one person from your group come see me in the back. A what?",706
student,Assembly or tomorrow I was thinking.,706
teacher,Neither. Neither. We're having one Monday.,706
student,Monday?,706
teacher,Yes.,706
student,This Monday?,706
teacher,Like next week.,706
student,But on the red ribbon sheet it said assembly.,706
teacher,"Monday. So what I have in my hand here ?? you can't see them, they're secret, is I have some real life pictures because one thing that we talked about yesterday is that word problems are like mini stories, right?",706
multiple students,Yeah.,706
teacher,"And stories typically are about people or animals. They're about somebody or something, yes?",706
multiple students,Yeah.,706
teacher,"But either way, they represent real world situation 'cause one of friends' favorite questions to ask when it comes to math is, well, how am I gonna use this in the real world, right?",706
multiple students,Yeah.,706
teacher,"Friends love to say that. Well, how am I gonna use it in the real world? Word problems are real world, aren't they?",706
multiple students,Yeah.,706
teacher,"Raise your hand if ?? one of the ones we talked about yesterday was Student A in her kitchen making the burrito dinner, right?",706
student,Uh-huh.,706
teacher,"Raise your hand if you ever think you're gonna cook anything in your life where you're gonna have to use a recipe. Yeah, probably everybody. Student F, you can keep your hands down, but my guess is probably some point in time in your life you will. I bet a lot of money on it. Another thing is we were talking about the mixing paint. Raise your hand if you think at some point in time in your life you might have to paint a room in a house or something that you own. Student L, you think that you're gonna live a pretty cushy life, I'm thinking. So either way, these are real world situations, right?",706
multiple students,Yeah.,706
teacher,"They're giving you real world situations. So what you ?? uh-oh. Thank you. So what I have here is I have a bunch of pictures. And these are real actual photographs. So I'm going to come over to somebody in your group, and I'm going to let you pick one. You can't see them. I'm gonna have them face down. And when you get it, just turn it over and I'll tell you what to do when everybody has it. All right Student N pick for your group. Don't talk please. Student G, pick.",706
student,"She said you weren't supposed to look, Student G.",706
teacher,"No, you can look at it. That's okay. Pick, Student A.",706
student,"Eenie, meenie, miney, mo.",706
student,Pick this one. Pick this one. Pick this one. Pick this one. This one. This one. Yeah. Focus. I knew it.,706
teacher,"Second reminder. So everybody has their pictures, yes?",706
multiple students,Yes.,706
teacher,"Student A, describe for our group what is the picture that you have? What is it of?",706
student,A forest. A pumpkin patch.,706
student,"Well, there's a forest, though.",706
teacher,"So it's a pumpkin patch with a forest behind it. Student G, describe to us your picture. First, let's stop real quick. I need everyone to sit down. Thank you. Student G, describe to us your picture.",706
student,It is a city surrounded by [water]. Not surrounded by ??,706
teacher,"Kind of surrounded, right?",706
student,Kind of surrounded.,706
teacher,"What's your picture, Student N?",706
student,Kids.,706
teacher,"Kids at school. And Student G, what's your picture?",706
student,Little kids at school eating.,706
teacher,"So you all have real pictures, real photographs, right?",706
multiple students,Yeah.,706
teacher,What you're going to do with this is you're gonna to make up a story.,706
multiple students,Yeah.,706
teacher,"Yeah. You're gonna make up a story, but your story is going to be one of those mini stories called ??",706
student,Word problem.,706
teacher,"Word problems, exactly. So this is your instructions. You have to use this as inspiration. So you need to look at your picture, and you need to collect some data because fractions are all about parts of a whole, right?",706
student,Mm-hmm.,706
teacher,"I'm gonna hold up another one of the pictures and kinda show you what I'm talking about. I'm going to ?? I'll hold this one up. This is a picture of a bunch of tulips. Now I need to collect some data before I can write a word problem about this, right? I'm talking about fractions. My whole could be how many tulips are in all. And my fraction could be that ?? let me see, how many are there? There's [counting 1 to 28] 28 tulips in all. And three of them are like pink. There's a fraction right there. I'm using my picture to collect data. You guys have pumpkins. You could talk about round one, like skinny ones versus fat ones, right. You guys have buildings. You could talk about short ones versus tall ones. You guys have kids and some of them are wearing hats and some of them are not. You guys have picture of the kids. Some of them are in shorts. Some of them are in skirts. Some are wearing ties. Some are not. Plenty of things you could observe about this and come up with a fraction, yes?",706
multiple students,Yeah.,706
teacher,Do you agree?,706
multiple students,Yeah.,706
teacher,So we have about 25 minutes until the end of the period. You have until let's say 11:10 which gives you about 20 minutes in all to come up with a word problem using addition or subtraction of fractions. Write the word problem out and solve your word problem. At 5 till the end of our period which would be 11:10 we're gonna stop and we're gonna share. Do you guys have questions?,706
student,No.,706
teacher,"Yes, Student J?",706
student,Do we have to work it out?,706
teacher,"Yes, once you come up with your word problem and you write it out on your paper, you need to make sure you work out your own word problem. Get started. So you decide what data you use from the picture. You can use whatever you want. You don't even have to use the kids. You could use the background.",706
student,"There's nothing background, but I mean boys [inaudible]. There's no girls [and only] boys.",706
student,"One, two, three.",706
student,Where's girls?,706
student,That's a girl. That ain't a girl. That ain't a girl.,706
teacher,She's wearing a skirt.,706
student,[Inaudible].,706
teacher,I'm pretty sure if she's wearing a skirt it's a girl.,706
student,[Inaudible].,706
teacher,"You got some wearing green and blue hats, that might be where you could go [inaudible].",706
student,Really?,706
teacher,"Yeah. Get off the other pictures. Are you using those pictures? Then put that one down. Thank you. No, one.",706
student,It's going to take forever if you count them.,706
student,14,706
student,Two sixths. Two sixths.,706
teacher,"You can use ?? yeah, use ?? if you're doing a fraction, make sure you write it with the numbers. Now you don't have to write it in a fraction. Like what you could say, like if you're talking about all the kids, you could say there are ?? I'm just making up numbers. You could say there are 12 students eating lunch in all. Eight of them are wearing green hats. Ten of them are wearing blue hats. Or you could say eight twelfths are wearing ?? well, no that doesn't work. You come up with your own problem, but you know what I'm saying? Like you don't have to do it in fraction form. You can tell the whole and then tell the parts and ask the question after that. Like you don't have to say eight twelfths of the kids are wearing green hats. You could say there are 12 in all, 8 of them are wearing a hat. Do you see the difference? And you make it ?? it's your problem, so you make it how you want it.",706
student,About 40.,706
student,"The denominators, do they have to be the same?",706
teacher,"And think about other word problems you've done. Like if you need to, look back at this one. Oops, it came unglued. I prefer them not to be. I prefer you to try to come up with different. I don't want you to make it too terribly easy.",706
student,Can we [inaudible]?,706
teacher,"Yeah. Student L, thank you. Awesome. Slow down sweetheart 'cause I'm not gonna be able to read it. Better handwriting. A little bit of advice. If you're doing numbers, if you're doing word problems, doing approximates is probably not a good idea.",706
student,I told you.,706
teacher,Because then that means that someone's answer could be an approximate answer.,706
student,Oh.,706
teacher,"Right. I mean I can't come up and say, well, my answer should be about five eighths when the actual answer should be six eighths. Well, I said about, I was close. Can't really do that. Your answer has to be exact.",706
student,There are 40 pumpkins.,706
teacher,"If you need to turn it around and go on the back, that's fine. [Inaudible].",706
student,I don't like the elephant one.,706
teacher,You wanna switch?,706
multiple students,Yes.,706
student,That would be more easy.,706
student,"No, it just looks more cooler.",706
teacher,Looks more cooler.,706
student,Better.,706
teacher,[Inaudible].,706
student,Teacher?,706
teacher,Mm-hmm.,706
student,Is that may a little bit of help?,706
teacher,You got me then. Just a second. What's the problem that you're having?,706
student,[Inaudible] minus [2 out of 15 minus 18 is 3. 18 out of 8] wearing blue hats.,706
teacher,I see where you're going. So you were gonna say there are 18 total wearing blue hats. There are seven children wearing green. There are 18 kids in all. How many are not ??,706
student,Wearing hats.,706
teacher,"Cause there are still some that are not wearing hats, right?",706
student,So see that one.,706
teacher,What's up?,706
student,I can't figure out how to start this story [inaudible].,706
student,I keep trying to say John the builder.,706
student,She keeps thinking about Bob the Builder.,706
student,Bob the Builder is building a city. Three twenty-fifths of the buildings are ??,706
student,"Admit it, you like Bob the Builder.",706
student,?? are unfinished. How many buildings did he already finish? I don't really see anything like ?? anything that's un-built from that picture. And they want [inaudible] to be what the picture looks like.,706
teacher,"I like where you're going 'cause I like the idea of the picture 'cause that's why I said you would actually build a story, right. I mean you're actually building a story. You have a character in your story and a setting, things like that. So it's going like that. Maybe that's why you're talking Bob the Builder. You're talking about someone who's a builder or John the Builder or whatever you wanna call him. What you can say is that because ?? what are you comparing? Like when you observe your data, are you looking at the height of the buildings, where they're located, like what are you comparing?",706
student,I'm doing the height of the [inaudible]. But there was only one super big one.,706
teacher,"But there's still lots that are taller than other ones, right? Like if you look like this one's tall, this one's tall, this one's tall, this one's tall. That one's short. That one's short. That one's short. And you can even do short, medium, and tall, right?",706
student,"These are short. These are short, short.",706
teacher,"Now listen to what I'm saying. This picture is supposed to inspire you to write your word problem. Now if you're numbers are not exact to this picture, that's okay. What you can say is you could that there are 40 buildings. Say three of them are very tall. And another number medium size and another number. As long as it all adds to the total what you say your total is, if the facts are in your problem, then they are the facts. The facts do not have to necessarily be the exact same as your picture. You see what I'm saying? Just make sure your facts are straight in your story. Now what you're saying is incomplete versus complete. You could say that he has been contracted by the city to build a building. And it has to be a certain height or he has to make a certain number that are part of the super tall category. How many will he need to build to complete a certain fraction? You see where we're going with that? And you've gotta take it further, that's your job. Take it further. Does that help you?",706
student,Yeah.,706
teacher,"Give you a little direction? Guys, real quick listen. Student M, please don't touch the stuff on my desk. I need you to sit and participate with your group. Eyes on me. One thing or two things that I really wanna stress. Remember we talked about word problems are mini stories, right? Stories have characters, settings. Make sure that you're developing ?? remember the one we talked about Student A. Student A was cooking. We got a little background knowledge on Student A. We have a character, right? Remember the one also that we talked about in our groups? Somebody did Student J. Student J was building a puzzle. Student L was mixing paint. We have a character and we have a story. Make sure you're doing that in yours. Make sure you have a character and make sure you have a story. Student B, are you talking about kids eating, right? Who's your character?",706
student,[Inaudible].,706
teacher,"If you can't say my character is ?? like watch. Student G, who is your character?",706
student,Student J.,706
teacher,"Student J, the ??",706
student,Student J the builder.,706
teacher,"John the builder. They have a character. You guys are like maybe the children. You need to know your character. Make sure you're developing the story. Another point that I really wanna point out to you, guys, your picture is supposed to inspire and give you data. Now Student G, hold you picture up. There is a lot of buildings there. Does she have to go through and count every single building?",706
multiple students,No.,706
teacher,"Not necessarily. She can say I'm just gonna say there's 40 buildings. As long as you have straight facts in your word problem, then you're fine. It does not necessarily have to fit exactly to your picture. The picture is just to supposed to inspire you and push you in the right direction. Get back to work. You got about seven minutes. Student M, this is second warning. You will just leave if you don't get involved.",706
student,One out of four. What do you mean one out of four?,706
student,"One out of two. There are two boys. So one out of two boys, and then ??",706
teacher,"Again, make sure you have a character and a story. Character and a story. Character and a story. Think about the problems we've solved before. They have a character and a background story.",706
student,"John the builder was hired to build buildings on one of the what's it called, surrounding [inaudible].",706
student,This is impossible.,706
teacher,You can pretend. Just pretend it's nylon. It's okay.,706
student,"Teacher, do we have to follow the exact kids on here?",706
teacher,You have to use that to gather data to give information for your word problem. Let's think about this a little bit. Where are the kids?,706
student,In the school.,706
teacher,Give me a character that would always be at the school.,706
student,Students.,706
teacher,What else?,706
multiple students,Teacher.,706
teacher,Could the teacher be trying to figure out some information about her students? So then your character can become ??,706
student,The teacher.,706
teacher,The teacher. Let's get a little background knowledge. Why would the teacher be wanting to gather evidence or information on her students?,706
student,Just to [inaudible].,706
student,To get opinions.,706
teacher,"What are you looking at here? Like what ?? you're talking about ties, right? Think about ties and the teacher and what a teacher might wanna do for her students with the ties.",706
student,"I know one. The students are supposed to be wearing ties. Some of them don't, so she's trying to find out who's wearing and who is not wearing about her students.",706
teacher,Why would she possibly care about them wearing ties or what might she do to try to get them ties?,706
student,To get ?? I guess it's the rule.,706
teacher,"So maybe she wants to discipline the students who don't have them, and she's gotta figure out what portion of her students don't have them. Maybe they're getting detention slips, and she has to know how many to print. You see what I'm saying? Like think about it development in the story actually put into a situation where somebody is trying to do something. You see the difference between what you have here and that? Can you go further with what we're talking about, develop it further? Yeah. Go ahead.",706
student,"Teacher, [inaudible].",706
teacher,"Let me see. There are eight children wearing blue hats, and there are seven children wearing green. There are 18 kids in all. And Teacher wanted to know how many aren't wearing hats. You gotta give me a little bit more background. Why does Teacher care about kids wearing hats?",706
student,Cause [inaudible].,706
student,Because it's split.,706
teacher,Why would they be split?,706
student,Because [inaudible]. She had [inaudible]. And she wanted to split half and half and them to go.,706
teacher,"I like where you're going. Keep going with it. Well, do you see what I mean? Like you're actually building a background story. So there are children on a field trip. She was giving her students hats. And she looks around and notices that eight of them are wearing blue hats and seven are wearing green. How many students is she missing or how many students don't have their hats on? Do you see what I'm ?? you're actually building a story out of the information. Good. Keep going with that. Keep going with it. You got to develop it more than that, but keep going with that.",706
student,I only see one.,706
teacher,We need a little background story here. Where are these people?,706
student,[By] the elephants.,706
teacher,"Where are the elephants? Why are they at the zoo? I don't know any of that from what you're writing. Awesome. Listen to my words. Here you have a background ?? or you have background stories, right?",706
student,Yeah.,706
teacher,"You know you're talking about Student L, you know that she's painting something, yes?",706
student,Yeah.,706
teacher,I know nothing about these people or elephants. Within your word problem you need to give me a little bit of a story. Do you want a new sheet of paper?,706
student,Mm-hmm.,706
teacher,Think of a story. Who are these people? Where are they? Why are they [in all this]?,706
student,Can we have the pumpkin back 'cause this is too hard?,706
teacher,"No, you can't switch again.",706
student,So the pumpkins are easier though because [inaudible].,706
teacher,"Kind of, yeah. Well, let's talk about it together. Let me see the picture. So you say that these people are at the zoo, yes. And they're on an elephant ride, yes. So let's say that your character is the photographer. And the photographer is being paid by these people to take their picture. You with me so far?",706
student,Yeah.,706
teacher,Why might the photographer want to know maybe the fraction of people?,706
student,Maybe the government asked to take a video of people to see how entertaining perhaps to monkey. And then they ??,706
teacher,"Wow, you were really developing a story there. I'm thinking more along the lines of the photographer's being paid, why would he need to know how many people paid 'cause then he knows how many pictures to do what with.",706
student,You really don't have to. You just want.,706
student,So not a complicated story.,706
teacher,"Just something simple. [If the driver being paid] is like the picture, what else do you think he's probably building? If you pay so much ??",706
student,His name is AJ. He would say to take a picture of the group of family members.,706
student,Probably they're like in some character some ??,706
student,"Yeah, 'cause these three are family members and all these people are family members and they was paid to take a picture of them all together because they are probably like family friends.",706
student,Famous probably.,706
student,Famous people that paid him $100.00 to take a picture.,706
student,A professional [inaudible].,706
teacher,"I like your bringing more numbers into it. So let's say this, the photographer got paid how much?",706
student,$100.00.,706
teacher,$100.00 in all. And let's say that each person paid ?? how many elephants are there?,706
student,Three.,706
teacher,There's three. So each person paid one ??,706
student,One third.,706
teacher,One third of 100. How much did each person ??,706
student,Pay.,706
teacher,"?? pay. Do you see? Now you actually have a story. Your photographer is the character. Give a background story 'cause there's people are paying him to take a picture of them on the elephants and you're including math. Not hard, is it? You want a new sheet of paper? Student A, go ahead. Sitting right there. How we doing?",706
student,[Inaudible].,706
teacher,Got a little bit more narrow of a focus now?,706
student,Mm-hmm.,706
teacher,Good. How we doing?,706
student,He added a little bit more. There I used [inaudible].,706
student,You know this is this is supposed to three eighteenths. I added to this. That goes to one eighth.,706
teacher,"Cause you're doing an [astronaut and this is what it was in]. So there are 18 children wearing ?? eight children wearing blue hats and seven children wearing green. There are 18 kids in all. So what you need to think about is let's look at it as a fraction. I'm gonna use kinda the back here to kinda show some of the work. So 18 children in all, right. [Counting 1 to 18]. Right? There's 18 in all. So eighteen eighteenths is all the kids, right?",706
student,Mm-hmm.,706
teacher,Now you said eight of them are wearing ??,706
student,Blue.,706
teacher,Blue hats.,706
student,"Yeah, blue hats.",706
teacher,"[Counting 1 to 8]. So all of those kids are wearing blue hats, right?",706
student,Yeah.,706
teacher,So 18 minus 8 is what?,706
student,18 minus 8 ??,706
student,7,706
student,10,706
teacher,"10. That leaves ten eighteenths, right. And if I count this I should have ten, right?",706
student,Yeah.,706
teacher,"And so you have 9, 10, yes. And then you said seven of the kids were wearing green hats. 1, 2, 3, 4 ?? so that's that. 10 minus 7 is what? Three eighteenths. How many kids are left over? You have just done it. You're trying to do it ?? the way you could do it as just kind of one step is you would say eight eighteenths plus seven eighteenths 'cause that's how many kids are wearing hats in all which would be ??",706
multiple students,15,706
teacher,"Fifteen eighteenths, how many kids are left over?",706
multiple students,Three.,706
teacher,"That's another way to do it. But either way what you have actually created here is a multi-step problem which is good. That's good. But do you see where you were kinda missing [the boat] 'cause what you're doing here is you're just taking ?? you're subtracting the kids ?? like basically you're saying that these are all the kids that have blue hats on. These are all the kids that have green hats on. You're subtracting the number of kids that have green hats on and the number of kids that have blue hats on. And that's not what you're looking for, is it?",706
student,Mm-mmm.,706
teacher,"So do you see what ?? you get it? Good? Stop, look, and listen. Hands up, eyes on me, mouths closed. Thank you. Hands down. Raise your hand if your group is finished. That is okay. What I'm going to do is I'm give you about two more minutes left that we have in class today before our other group comes back. And since we're not done today, I'll give you a little bit of time at the beginning of class tomorrow to finish these. Deal?",706
multiple students,Deal.,706
teacher,Keep working. How we doing?,706
student,We're just about finished.,706
teacher,Just about finished. Good.,706
student,Should we glue the picture down?,706
teacher,"No, you're not gonna glue it down.",706
student,[Inaudible] I was gonna glue it to the bottom.,706
teacher,"I'm gonna put them up with them, but we're not gonna glue it to the paper.",706
student,Do you want us to read it over?,706
teacher,Read over it and make sure that you ??,706
student,I only read this one. Two out of three.,706
teacher,So Teacher S's class have a total. Teacher A's class have a total?,706
student,Has a total.,706
teacher,Has a total of six students.,706
student,You changed it.,706
teacher,She needs to know how many detention slips to print out for the kid??,706
student,Kid [kids].,706
teacher,"?? who are not wearing ties. Two thirds of students, how many were wearing ties?",706
student,Two third of students.,706
teacher,Two thirds of students.,706
student,[Chapter] two third of students.,706
teacher,Are what?,706
student,Are not.,706
teacher,"Are not wearing ties. How many ?? so you don't want to say how many were in ties. Two thirds of students are not wearing ties. How many students need detention slips, or how many detention slips does she need to print? So let's go back and fix that. So make sure we're clear 'cause really the last sentence in your word problem needs to be what you're actually trying to do, right? Stop, look, and listen. We did really well today. I like we're done. Most of you guys are very close to being done. What I'd like you to do is I'd like you to make a stack on my kidney bean table over there of both your word problem that I gave you and you glued and your word problem that you're coming up with. You've got about ten seconds to get that done. You've got 10, 9, 8, 7, 6. Put it over there as well. Nope, back.",706
student,Where's the pictures?,706
teacher,"Bring me your picture. 5, 4, 3, 2, 1, 0.",706
