ID 706,,,,
speaker,Utterance,Orientation about Mathematics,Orientation about Students,Orientation about Interaction
"Mathematics is treated as a multi-representational practice in which drawing and symbolic calculation are both required as showing mathematical understanding. Students are positioned primarily as recipients of a preferred method, with the teacher directing them toward 'the best way to check,' though a key moment of student agency emerges when the teacher validates an unprompted student representation ('That works') without modification. Scaffolding is delivered by activating shared prior classroom experience (the cheese and cups demonstration), framing students as holders of reactivatable knowledge. Interactionally, the exchange is structured as one-to-one rather than whole-class discussion, with the teacher observing student work, offering prompts, and checking in. The interaction is supportive and responsive but remains teacher-initiated throughout.",,,,
Episode 3: Interacting with other students,,,,
student,He's using my pencil.,,,
teacher,That's what you have going on? Because Student H was using your pencil?,N/A,N/A ,N/A
student,Yeah.,,,
teacher,"So four, five.",N/A,N/A,N/A
student,At first [inaudible].,,,
teacher,I'm writing it upside down. Hold on. Let's turn it around [inaudible]. There we go.,N/A,N/A,N/A
student,[Inaudible]. And then she erased it.,,,
teacher,"So basically Student J trying to get to the last house, right?",Mathematics as embedded in real-world / everyday contexts,Students as characters in relatable real-world narratives; student names are embedded in the mathematical problem,N/A
student,Mm-hmm.,,,
teacher,"And how far is it, the whole distance?",Mathematics as requiring identification of key quantitative information,Students as retrievers of key mathematical information; positioned as the source of the answer,N/A
student,Four fifths a mile.,,,
teacher,"Four fifths a mile. And she's already walked half. And you're trying to find how much further she has to go. So you say that four fifths is your total and that she's already done half, right? So you jot down your LCM is ten. So you know it is tenths. So your answer is three tenths of a mile. So let me see your picture. So you need to label your picture. So you're still working on it.","*Mathematics as procedural (LCM-based algorithm)
*Mathematics as multimodal / representational practice (picture + labeling)","Students as procedural followers

Teacher narrates and confirms each step of the algorithm; student is positioned as incomplete ('you're still working on it')",N/A
student,Student J here. Student I here. And then four fifths in the middle and put a line here.,,,
student,"No, we put right here or right in the middle.",,,
teacher,Looks like you're working hard. Let me see what you got.,N/A,Students as effortful workers,N/A
student,Can we use this [inaudible] please?,,,
teacher,Who do they belong to? Thank you. So Student J worked on a jigsaw puzzle for one fourth an hour before dinner. And he worked on the puzzle for another five eighths of an hour after dinner. How much time did Student L spend on the puzzle in all? So you're saying that ?? what are your key words to know that it's addition?,"*Mathematics as language-based / keyword-driven practice
*mathematics as embedded in everyday contexts",Students as keyword-identifiers; positioned as needing to locate linguistic cues in the problem text to determine the operation,"Elicits student reasoning through direct questioning, positioning student thinking as the resource for mathematical progress."
student,Because he's saying how much more?,,,
student,More.,,,
teacher,"I don't see how much more. Or the saying, I don't see the word together. Show me in the actual problem where you know that it's addition. Student M, what key words do you see there that tells you it's addition?",Mathematics as language-based / keyword-driven practice; mathematics as requiring textual evidence,Students as textual evidence-locators; student's initial reasoning ('how much more') is redirected without engagement with its logic; another student is nominated to supply the correct keyword,"Treats student responses as insufficient and redirects, framing interaction as a means to extract a target answer (IRE pattern)."
student,Time.,,,
teacher,Time doesn't ?? 'cause that could say [inaudible].,Mathematics as precise / context-sensitive in language interpretation,Students as producers of incorrect responses; student's answer is dismissed without elaboration of why,"Evaluates student contribution as incorrect, maintaining control over what counts as valid mathematical reasoning."
student,In all.,,,
teacher,In all. Very good. In all tells me that I'm talking about ??,Mathematics as language-based / keyword-driven practice,Students as keyword-matchers; success framed as finding the target word; student who provides the correct keyword receives explicit praise,"Validates student response and uses it as a stepping stone, treating correct student input as consequential to the lesson progression."
student,Adding.,,,
teacher,"?? addition. That's right 'cause in all means that I have this and this, and if I put it together that's how much I have in all. And if I put things together, then I'm adding them. So you're saying one fourth plus five eighths. So your LCM is eight. So you said 4 times 2, do it to the bottom. 1 times 2 is 2. 2 plus 5 is 7. So is this your final answer?",Mathematics as procedural (algorithmic steps),"Students as procedural executors; teacher walks through each algorithmic step, with students in a confirmatory role throughout",N/A
student,Yes.,,,
teacher,How do you know that you're done with this?,Mathematics as requiring justification,Students as mathematical justifiers; positioned as needing to articulate reasoning beyond the answer,Opens space for student justification --> framing interaction as requiring conceptual reasoning rather than answer retrieval.
student,Because you cannot [inaudible].,,,
teacher,How do you know?,Mathematics as requiring justification,Students as capable of deeper articulation; teacher presses for more explicit reasoning,Presses for deeper student reasoning --> positioning student explanation as necessary and consequential to mathematical understanding.
student,Because this is a prime number and this cannot divide [inaudible].,,,
teacher,"So 7s prime and 7 cannot divide into 8, so you know that you're finished. Exactly. So what you have here, here's your picture. So this is a full hour, right?","*Mathematics as procedurally driven 
*as conceptually grounded",Students as mathematical reasoners whose logic is worth restating and affirming publicly; student's reasoning about prime numbers is amplified and confirmed,"Affirms and elaborates student reasoning, treating the student's justification as the basis for mathematical closure."
"This episode presents the sharpest internal tensions of the transcript. Mathematically, two contrasting orientations co-exist: the keyword-identification approach ('what key words to know that it's addition') treats mathematics as a language-decoding task, while the closing exchange around prime numbers treats it as a domain requiring conceptual justification. Students are positioned inconsistently across the episode (keyword-matchers in the first half + mathematical reasoners in the second half). Interactionally, the episode is dominated by an IRE pattern in the keyword sequence, with the teacher nominating students to supply target words and evaluating responses as correct or incorrect. The shift toward the end  'How do you know?' pressed twice, briefly opens a more dialogic space where student reasoning is invited rather than answer-retrieval. The tension between these two interactional modes reflects the broader mathematical tension in the episode.",,,,
Episode 4: Extension - Scenario 1,,,,
student,Mm-hmm.,,,
teacher,And you cut into fourths because he spent one fourth an hour here. And then he spent five eighths of an hour here which is what you showed here. So if you add these together you come up with ??,Mathematics as multimodal / representational practice; mathematics as building meaning through visual models,Students as builders on their own prior representational work; teacher connects what student has already produced to the next mathematical step,N/A
student,Seven eighths.,,,
teacher,"So how much did he actually spend in all? How much like out of an entire hour did he spend just part, like a small part?",Mathematics as sense-making beyond the numerical answer,Students as capable of moving beyond the symbolic answer toward real-world quantitative meaning,N/A
student,[Inaudible].,,,
teacher,"See, but let's extend it.",Mathematics as open-ended inquiry,Students as capable of going further than the current task requires; positioned as having more to offer,"Frames the current student answer as a starting point rather than an endpoint, positioning student work as consequential but extendable."
student,50 minutes.,,,
teacher,Work it out. I wanna see it on here. Tell me actually how much time he actually spent. See if you can figure it out. If he spent how much minutes is in an hour.,Mathematics as requiring justification,Students as independent problem-solvers; student's attempt is not dismissed but redirected toward demonstrating the working process,"Treats student's verbal answer as insufficient without demonstrated reasoning, positioning shown work as consequential."
student,"Yeah, we gotta put a decimal and then change it to ??",,,
teacher,"Figure it out. Let's see if you can come up with. I'll tell you what, if you come up with the right answer, I'll move you all the blue.",N/A ,Students as motivated by external reward/status; engagement with the extended problem is framed through a behavioral incentive,Motivates through incentive rather than framing interaction as inherently meaningful for learning.
student,Yeah.,,,
student,Color it.,,,
teacher,"You gotta come up with the right answer first and you have to show me how you got there, too. I'm gonna go a little bit further and get the right answer. Have you guys ever seen gallon man?",Mathematics as requiring both correct answer + process/reasoning,Students as accountable for both answer and process; also positioned as potentially unfamiliar with a measurement mnemonic tool,"Requires students to show reasoning, then pivots to a new shared referent (gallon man), framing class knowledge as a collective resource."
multiple students,No.,,,
teacher,"Gallon man, big G. That's a gallon. Now I wanna see if you can convert. Let me give you some information here. There are ?? if you remember to look at this. There are four quarts inside a gallon.",Mathematics as a procedural process ,Students as receivers of new information needed for conversion; 'if you remember' acknowledges possible prior exposure,N/A
student,We had something like that but it was called like the [inaudible] gallon monster.,,,
teacher,"Gallon monster, same sort of thing then, right?",Mathematics as connected to students' prior knowledge and experiences,Students as holders of prior knowledge from other learning contexts; student's alternative tool is treated as equivalent,"Validates student's prior knowledge as equivalent to the teacher's tool, treating student experience as a legitimate mathematical resource."
student,Yeah.,,,
teacher,"There are two pints in each quart. And then there are two cups in one pint and little c's. This is a way to remember conversions. Now, you are telling me that he has five eighths of a gallon left, right?",Mathematics as remembering facts,Students as users of mnemonic/memory tools for measurement facts; positioned as applying a provided scaffold to a new problem,N/A
student,Yes.,,,
teacher,See if you can tell me how much that is and if you get the answer right I'll move you all to blue.,Mathematics as problem-solving with a verifiable answer OR N/A,Students as motivated by external reward; second instance of behavioral incentive framing engagement with the mathematical task,N/A
"Mathematics is framed as extendable beyond the procedural answer, the teacher pushes students to convert a fractional result into real-world units (minutes), positioning mathematical work as incomplete until it is grounded in quantitative meaning. Students are cast as capable of going further than the immediate task, and the 'gallon monster' exchange is a significant asset-oriented moment: the teacher immediately validates a student's alternative prior knowledge tool as equivalent to her own, treating student knowledge from other learning contexts as a legitimate mathematical resource. ",,,,
Episode 5: Extension - Scenario 2,,,,
student,I have [inaudible].,,,
student,[Inaudible] color.,,,
student,"No, you already colored it.",,,
student,You can finish it. It's already colored.,,,
student,Is this correct or not correct?,,,
teacher,It is correct. You did a very good job.,N/A,Students as producers of correct mathematical work; both accuracy and quality of work are affirmed,N/A
student,I'll color next time.,,,
teacher,You did very good. Very impressed. How are we doing?,N/A,Students as capable of producing work that exceeds the teacher's expectations,N/A
student,Fine.,,,
student,Pretty good.,,,
teacher,Doing pretty well. Let's do a time check. Did you guys come up with it? So we're out of time for this. Now what I want you to do is I want you to hopefully the other side of your paper is clean. Is it clean?,N/A,N/A ,N/A
multiple students,Yeah.,,,
multiple students,No.,,,
teacher,Do you need a new sheet of paper?,N/A,N/A ,N/A
multiple students,Yeah.,,,
teacher,"If you would like a new sheet of paper, come one person from your group come see me in the back. A what?",N/A,N/A (classroom management),N/A
student,Assembly or tomorrow I was thinking.,,,
teacher,Neither. Neither. We're having one Monday.,N/A,N/A,N/A
student,Monday?,,,
teacher,Yes.,N/A,N/A,N/A
student,This Monday?,,,
teacher,Like next week.,N/A,N/A,N/A
student,But on the red ribbon sheet it said assembly.,,,
teacher,"Monday. So what I have in my hand here ?? you can't see them, they're secret, is I have some real life pictures because one thing that we talked about yesterday is that word problems are like mini stories, right?",Mathematics as connected to real-world contexts,Students as story-makers and narrative thinkers; their existing literacy and storytelling knowledge is invoked as a bridge into the mathematical task,"Connects to prior shared discussion ('we talked about yesterday'), framing past student-teacher interaction as a foundation for current learning."
multiple students,Yeah.,,,
teacher,"And stories typically are about people or animals. They're about somebody or something, yes?",N/A,Students as narrative thinkers whose general story knowledge is relevant to mathematics,N/A
multiple students,Yeah.,,,
teacher,"But either way, they represent real world situation 'cause one of friends' favorite questions to ask when it comes to math is, well, how am I gonna use this in the real world, right?",Mathematics as humanized / contextualized in human experience,Students as questioners of mathematics' real-world relevance; their expressed skepticism about usefulness is acknowledged and treated as a legitimate concern to be addressed,"Acknowledges students' own recurring question ('friends' favorite question') as legitimate, treating student skepticism as consequential to how mathematics is framed."
multiple students,Yeah.,,,
teacher,"Friends love to say that. Well, how am I gonna use it in the real world? Word problems are real world, aren't they?",Mathematics as relevant and applicable to real life,Students as pragmatic learners who need real-world connection to engage with mathematics; their 'why do we need this' question is taken seriously and answered directly,"Directly responds to students' expressed concern about relevance, positioning student questions as driving the pedagogical framing."
multiple students,Yeah.,,,
teacher,"Raise your hand if ?? one of the ones we talked about yesterday was Student A in her kitchen making the burrito dinner, right?",Mathematics as embedded in students' everyday / cultural lives (asset-based),"Students as holders of culturally situated, everyday practices that are mathematically relevant; a named student's home context (burrito-making) is used as a shared class reference point","References a specific student's prior contribution as a shared class example, treating individual student input as consequential to collective learning."
student,Uh-huh.,,,
teacher,"Raise your hand if you ever think you're gonna cook anything in your life where you're gonna have to use a recipe. Yeah, probably everybody. Student F, you can keep your hands down, but my guess is probably some point in time in your life you will. I bet a lot of money on it. Another thing is we were talking about the mixing paint. Raise your hand if you think at some point in time in your life you might have to paint a room in a house or something that you own. Student L, you think that you're gonna live a pretty cushy life, I'm thinking. So either way, these are real world situations, right?",Mathematics as relevant and applicable to real life,Students as future users of practical mathematics in everyday life,"Uses real-life relevance checks to position students as future practitioners, framing mathematical interaction as connected to students' own lives."
multiple students,Yeah.,,,
"Mathematics is repositioned in this episode as inherently real-world and narrative in nature, e.g. word problems are 'mini stories' about people and situations students will encounter in their own lives. This framing treats students' expressed skepticism about mathematical relevance ('how am I gonna use this in the real world?') as a legitimate concern worth addressing directly, rather than dismissing, positioning students as pragmatic learners whose questions about utility are reasonable. ",,,,
Episode 6: Application & Authoring their own problems,,,,
teacher,"They're giving you real world situations. So what you ?? uh-oh. Thank you. So what I have here is I have a bunch of pictures. And these are real actual photographs. So I'm going to come over to somebody in your group, and I'm going to let you pick one. You can't see them. I'm gonna have them face down. And when you get it, just turn it over and I'll tell you what to do when everybody has it. All right Student N pick for your group. Don't talk please. Student G, pick.",Mathematics as relevant and applicable to real life,Students as autonomous choosers within a structured task; each group is given a degree of agency in selecting their mathematical starting point,"Hands agency to students by letting them select their own stimulus, framing student choice as consequential to the task."
student,"She said you weren't supposed to look, Student G.",,,
teacher,"No, you can look at it. That's okay. Pick, Student A.",N/A,N/A,N/A
student,"Eenie, meenie, miney, mo.",,,
student,Pick this one. Pick this one. Pick this one. Pick this one. This one. This one. Yeah. Focus. I knew it.,,,
teacher,"Second reminder. So everybody has their pictures, yes?",N/A,N/A (classroom management),N/A
multiple students,Yes.,,,
teacher,"Student A, describe for our group what is the picture that you have? What is it of?",N/A,Students as observers and describers of real-world images; positioned as initiators of mathematical data collection,"Positions student description as the starting point for the mathematical task, treating student observation as consequential input."
student,A forest. A pumpkin patch.,,,
student,"Well, there's a forest, though.",,,
teacher,"So it's a pumpkin patch with a forest behind it. Student G, describe to us your picture. First, let's stop real quick. I need everyone to sit down. Thank you. Student G, describe to us your picture.",N/A,Students as contributors to shared group discussion; each group's picture is treated as equally valid material for mathematics,"Incorporates and builds on student's correction, treating peer interaction as refining shared understanding."
student,It is a city surrounded by [water]. Not surrounded by ??,,,
teacher,"Kind of surrounded, right?",N/A,N/A,N/A
student,Kind of surrounded.,,,
teacher,"What's your picture, Student N?",N/A,N/A,N/A
student,Kids.,,,
teacher,"Kids at school. And Student G, what's your picture?",N/A,N/A,N/A
student,Little kids at school eating.,,,
teacher,"So you all have real pictures, real photographs, right?",N/A,"Students as connected to authentic, real-world visual material; the reality of their resources is affirmed",N/A
multiple students,Yeah.,,,
teacher,What you're going to do with this is you're gonna to make up a story.,Mathematics as real-world problem-solving,Students as story-authors; positioned as creators of mathematical content rather than solvers of pre-made problems,N/A
multiple students,Yeah.,,,
teacher,"Yeah. You're gonna make up a story, but your story is going to be one of those mini stories called ??",Mathematics as real-world problem-solving,Students as co-constructors of genre knowledge; the term 'word problem' is elicited from students rather than supplied,"Elicits the term from students rather than supplying it, framing student verbal contribution as necessary to complete the lesson."
student,Word problem.,,,
teacher,"Word problems, exactly. So this is your instructions. You have to use this as inspiration. So you need to look at your picture, and you need to collect some data because fractions are all about parts of a whole, right?",Mathematics as real-world observation,Students as data collectors and mathematical observers; positioned as investigators gathering evidence before writing,N/A
student,Mm-hmm.,,,
teacher,"I'm gonna hold up another one of the pictures and kinda show you what I'm talking about. I'm going to ?? I'll hold this one up. This is a picture of a bunch of tulips. Now I need to collect some data before I can write a word problem about this, right? I'm talking about fractions. My whole could be how many tulips are in all. And my fraction could be that ?? let me see, how many are there? There's [counting 1 to 28] 28 tulips in all. And three of them are like pink. There's a fraction right there. I'm using my picture to collect data. You guys have pumpkins. You could talk about round one, like skinny ones versus fat ones, right. You guys have buildings. You could talk about short ones versus tall ones. You guys have kids and some of them are wearing hats and some of them are not. You guys have picture of the kids. Some of them are in shorts. Some of them are in skirts. Some are wearing ties. Some are not. Plenty of things you could observe about this and come up with a fraction, yes?",Fractions as emerging naturally from categorizing the real world,Students as capable independent observers with multiple mathematical entry points available to them,"Models the observation process and then projects it onto each group's picture, framing student observation as the generative source of mathematical content."
multiple students,Yeah.,,,
teacher,Do you agree?,Mathematics as dialogic,Students as intellectual agents whose agreement is sought,"Seeks student co-validation of the task, treating student agreement as consequential to proceeding."
multiple students,Yeah.,,,
teacher,So we have about 25 minutes until the end of the period. You have until let's say 11:10 which gives you about 20 minutes in all to come up with a word problem using addition or subtraction of fractions. Write the word problem out and solve your word problem. At 5 till the end of our period which would be 11:10 we're gonna stop and we're gonna share. Do you guys have questions?,N/A,Students as independent authors and solvers of their own word problems,"Frames sharing as a planned collective activity, positioning student-authored problems as consequential to the class as a whole."
student,No.,,,
"Mathematics is framed as observation-driven and student-initiated, e.g. fractions emerge from students' own categorisation of the world rather than from a pre-given problem structure.

Students are positioned as resourceful, independent observers with 'plenty of things' to work with, and the teacher models the data-collection process with her own photograph before handing agency back to the groups.
 
Interactionally, the teacher shifts from directing to demonstrating to releasing and closes with 'Do you agree?', which seeks student co-validation of the task. ",,,,
Episode 7: Narrative Coaching,,N/A,,
teacher,"Yes, Student J?",,N/A,N/A
student,Do we have to work it out?,,,
teacher,"Yes, once you come up with your word problem and you write it out on your paper, you need to make sure you work out your own word problem. Get started. So you decide what data you use from the picture. You can use whatever you want. You don't even have to use the kids. You could use the background.",Mathematics as student-directed inquiry,Students as autonomous decision-makers in mathematical authorship; 'you decide' and 'whatever you want' position students as having genuine ownership over their mathematical choices,"Affirms student autonomy in choosing their data, framing student decision-making as consequential to the mathematical task."
student,"There's nothing background, but I mean boys [inaudible]. There's no girls [and only] boys.",,,
student,"One, two, three.",,,
student,Where's girls?,,,
student,That's a girl. That ain't a girl. That ain't a girl.,,,
teacher,She's wearing a skirt.,N/A,N/A,N/A
student,[Inaudible].,,,
teacher,I'm pretty sure if she's wearing a skirt it's a girl.,N/A,N/A,N/A
student,[Inaudible].,,,
teacher,"You got some wearing green and blue hats, that might be where you could go [inaudible].",N/A,Students as capable of redirecting their own inquiry with a gentle prompt; suggestion offered rather than directive given,"Redirects student attention toward a productive mathematical observation, treating student focus as consequential to task progress."
student,Really?,,,
teacher,"Yeah. Get off the other pictures. Are you using those pictures? Then put that one down. Thank you. No, one.",N/A,N/A (classroom management),N/A
student,It's going to take forever if you count them.,,,
student,14,,,
student,Two sixths. Two sixths.,,,
teacher,"You can use ?? yeah, use ?? if you're doing a fraction, make sure you write it with the numbers. Now you don't have to write it in a fraction. Like what you could say, like if you're talking about all the kids, you could say there are ?? I'm just making up numbers. You could say there are 12 students eating lunch in all. Eight of them are wearing green hats. Ten of them are wearing blue hats. Or you could say eight twelfths are wearing ?? well, no that doesn't work. You come up with your own problem, but you know what I'm saying? Like you don't have to do it in fraction form. You can tell the whole and then tell the parts and ask the question after that. Like you don't have to say eight twelfths of the kids are wearing green hats. You could say there are 12 in all, 8 of them are wearing a hat. Do you see the difference? And you make it ?? it's your problem, so you make it how you want it.",Mathematics as flexible in representation (fraction form vs. part-whole narrative),"Students as flexible mathematical authors with multiple valid ways to represent fractional relationships; 'it's your problem, so you make it how you want it' foregrounds student ownership of the mathematical work","Explicitly grants students ownership over mathematical expression, framing student choice as legitimate and consequential."
student,About 40.,,,
student,"The denominators, do they have to be the same?",,,
teacher,"And think about other word problems you've done. Like if you need to, look back at this one. Oops, it came unglued. I prefer them not to be. I prefer you to try to come up with different. I don't want you to make it too terribly easy.","Mathematics as connected to prior experience
*Learning as productive struggles",Students as capable of drawing on prior work as a resource; positioned as able to take on appropriate challenge; prior problems treated as a reference tool,"References students' prior mathematical experience as a resource, and positions student challenge level as something students can and should control."
student,Can we [inaudible]?,,,
teacher,"Yeah. Student L, thank you. Awesome. Slow down sweetheart 'cause I'm not gonna be able to read it. Better handwriting. A little bit of advice. If you're doing numbers, if you're doing word problems, doing approximates is probably not a good idea.",Mathematics as requiring precision and exactness,Students as needing handwriting and precision reminders; correction is framed as practical advice; use of 'sweetheart' is affectionate in register,N/A
student,I told you.,,,
teacher,Because then that means that someone's answer could be an approximate answer.,Mathematics as requiring precision and exactness,Students as capable of understanding the mathematical consequence of their representational choices when the reason is explained,"Frames mathematical precision as consequential for others who will solve the problem, positioning student-authored problems as real tasks for peers."
student,Oh.,,,
teacher,"Right. I mean I can't come up and say, well, my answer should be about five eighths when the actual answer should be six eighths. Well, I said about, I was close. Can't really do that. Your answer has to be exact.",Mathematics as a precise discipline,Students as capable of grasping precision norms through a concrete illustrative example; teacher models the reasoning rather than simply stating a rule,N/A
student,There are 40 pumpkins.,,,
teacher,"If you need to turn it around and go on the back, that's fine. [Inaudible].",N/A,N/A,N/A
student,I don't like the elephant one.,,,
teacher,You wanna switch?,N/A,N/A,N/A
multiple students,Yes.,,,
student,That would be more easy.,,,N/A
student,"No, it just looks more cooler.",,,
teacher,Looks more cooler.,N/A,N/A,N/A
student,Better.,,,
teacher,[Inaudible].,N/A,N/A,N/A
student,Teacher?,,,
teacher,Mm-hmm.,N/A,N/A,N/A
student,Is that may a little bit of help?,,,
teacher,You got me then. Just a second. What's the problem that you're having?,N/A,N/A,"Builds on student's partial reasoning rather than correcting it, treating student thinking as a valid starting point for mathematical development."
student,[Inaudible] minus [2 out of 15 minus 18 is 3. 18 out of 8] wearing blue hats.,,,
teacher,I see where you're going. So you were gonna say there are 18 total wearing blue hats. There are seven children wearing green. There are 18 kids in all. How many are not ??,Mathematics as sense-making from student-generated data,Students as mathematical thinkers whose partial reasoning has a direction worth following; 'I see where you're going' acknowledges the student's thinking as a coherent (if incomplete) trajectory rather than a wrong answer,N/A
student,Wearing hats.,,,
teacher,"Cause there are still some that are not wearing hats, right?",N/A,Students as capable of extending their own reasoning through a guiding question; student remains the active mathematical agent,N/A
student,So see that one.,,,
teacher,What's up?,N/A,N/A,N/A
student,I can't figure out how to start this story [inaudible].,,,
student,I keep trying to say John the builder.,,,
student,She keeps thinking about Bob the Builder.,,,
student,Bob the Builder is building a city. Three twenty-fifths of the buildings are ??,,,
student,"Admit it, you like Bob the Builder.",,,
student,?? are unfinished. How many buildings did he already finish? I don't really see anything like ?? anything that's un-built from that picture. And they want [inaudible] to be what the picture looks like.,,,
teacher,"I like where you're going 'cause I like the idea of the picture 'cause that's why I said you would actually build a story, right. I mean you're actually building a story. You have a character in your story and a setting, things like that. So it's going like that. Maybe that's why you're talking Bob the Builder. You're talking about someone who's a builder or John the Builder or whatever you wanna call him. What you can say is that because ?? what are you comparing? Like when you observe your data, are you looking at the height of the buildings, where they're located, like what are you comparing?","Mathematics as narrative (with character and setting); 
Mathematics as comparison and data observation; 
validating student's creative mathematical framing 
(asset-based)",Students as creative narrative thinkers whose popular culture references (Bob the Builder) are treated as mathematically productive; student's story idea is validated and built upon rather than redirected away from,"Validates the Bob the Builder reference as a productive narrative resource and uses it to scaffold mathematical thinking, treating student popular culture knowledge as consequential."
student,I'm doing the height of the [inaudible]. But there was only one super big one.,,,
teacher,"But there's still lots that are taller than other ones, right? Like if you look like this one's tall, this one's tall, this one's tall, this one's tall. That one's short. That one's short. That one's short. And you can even do short, medium, and tall, right?",Mathematics as flexible in how categories are defined,Students as capable of generating richer categorical distinctions than they initially perceive; teacher expands the student's view of what is mathematically available in the image,"Extends student's observation to open up more mathematical possibilities, treating student noticing as the basis for task development."
student,"These are short. These are short, short.",,,
teacher,"Now listen to what I'm saying. This picture is supposed to inspire you to write your word problem. Now if you're numbers are not exact to this picture, that's okay. What you can say is you could that there are 40 buildings. Say three of them are very tall. And another number medium size and another number. As long as it all adds to the total what you say your total is, if the facts are in your problem, then they are the facts. The facts do not have to necessarily be the exact same as your picture. You see what I'm saying? Just make sure your facts are straight in your story. Now what you're saying is incomplete versus complete. You could say that he has been contracted by the city to build a building. And it has to be a certain height or he has to make a certain number that are part of the super tall category. How many will he need to build to complete a certain fraction? You see where we're going with that? And you've gotta take it further, that's your job. Take it further. Does that help you?",Mathematics as internally consistent (facts must add to total),"Students as mathematical authors with creative license within logical constraints; 'that's your job' positions students as responsible for extending their own thinking; student's current work is characterized as 'incomplete versus complete', marking it as not yet meeting the expected standard; teacher provides a narrative framework to move the student forward","Reframes the relationship between observation and mathematical authorship, positioning student creative decisions as mathematically legitimate as long as they are internally consistent."
student,Yeah.,,,
teacher,"Give you a little direction? Guys, real quick listen. Student M, please don't touch the stuff on my desk. I need you to sit and participate with your group. Eyes on me. One thing or two things that I really wanna stress. Remember we talked about word problems are mini stories, right? Stories have characters, settings. Make sure that you're developing ?? remember the one we talked about Student A. Student A was cooking. We got a little background knowledge on Student A. We have a character, right? Remember the one also that we talked about in our groups? Somebody did Student J. Student J was building a puzzle. Student L was mixing paint. We have a character and we have a story. Make sure you're doing that in yours. Make sure you have a character and make sure you have a story. Student B, are you talking about kids eating, right? Who's your character?",Mathematics as drawing on students' own prior problems as models (asset-based),Students as story-developers who need explicit reminders of narrative craft elements; named students' prior problems are used as public exemplars for the class to emulate; students are positioned as having produced work valuable enough to model for peers,"References specific students' prior contributions as shared class exemplars, treating individual student work as consequential to the collective understanding of what good word problems look like."
