video_id,obsid,year,n_observations_for_teacher,n_codeable_turns,n_teacher_turns,ambiguous_only,seed,selection
340,24,1,3,488,246,,20260724,preferred_scanned
341,2789,2,5,611,285,,20260724,preferred_scanned
342,206,1,3,415,197,,20260724,preferred_scanned
343,1147,1,3,392,192,,20260724,preferred_scanned
344,2571,2,6,588,291,,20260724,preferred_scanned
345,2397,2,6,477,229,,20260724,preferred_scanned
346,76,1,3,576,278,,20260724,preferred_scanned
347,225,1,3,362,181,,20260724,preferred_scanned
348,2592,2,9,640,299,,20260724,preferred_scanned
349,2761,2,6,191,95,,20260724,preferred_scanned
350,4598,3,6,117,72,,20260724,preferred_scanned
351,2765,2,9,190,95,,20260724,preferred_scanned
352,4678,3,6,145,71,,20260724,preferred_scanned
353,2773,2,9,267,151,,20260724,seeded_draw
354,2918,2,9,241,120,,20260724,seeded_draw
355,4259,3,9,270,129,,20260724,seeded_draw
356,2855,2,6,371,186,,20260724,seeded_draw
357,570,1,6,452,215,,20260724,seeded_draw
358,40,1,3,455,226,,20260724,seeded_draw
359,539,1,3,570,291,,20260724,seeded_draw
360,2471,2,6,168,90,,20260724,seeded_draw
361,129,1,6,171,86,,20260724,seeded_draw
362,692,1,7,311,175,,20260724,seeded_draw
363,2423,2,6,123,64,,20260724,seeded_draw
364,69,1,3,377,191,,20260724,seeded_draw
365,754,1,2,510,212,,20260724,seeded_draw
366,2929,2,3,68,35,,20260724,seeded_draw
367,2424,2,3,682,310,,20260724,seeded_draw
368,2852,2,3,305,151,,20260724,seeded_draw
369,2851,2,3,592,281,,20260724,seeded_draw
370,2396,2,3,527,276,,20260724,seeded_draw
371,4245,3,6,276,138,,20260724,seeded_draw
372,2395,2,6,495,245,,20260724,seeded_draw
373,2777,2,3,208,106,,20260724,seeded_draw
374,4242,3,6,231,134,,20260724,seeded_draw
375,2755,2,7,264,145,,20260724,seeded_draw
376,2201,2,3,380,180,,20260724,seeded_draw
401,1120,1,9,168,85,,20260724,seeded_draw
402,63,1,2,339,164,,20260724,seeded_draw
403,2693,2,8,155,78,,20260724,seeded_draw
404,1047,1,5,254,139,,20260724,seeded_draw
405,742,1,6,424,216,,20260724,seeded_draw
406,64,1,4,409,190,,20260724,seeded_draw
407,1119,1,5,694,312,,20260724,seeded_draw
408,969,1,4,391,181,,20260724,seeded_draw
409,2922,2,5,174,88,,20260724,seeded_draw
410,118,1,3,177,87,,20260724,seeded_draw
411,815,1,7,377,210,,20260724,seeded_draw
412,241,1,3,181,117,,20260724,seeded_draw
413,953,1,6,317,170,,20260724,seeded_draw
414,2843,2,6,223,111,,20260724,seeded_draw
415,313,1,6,586,280,,20260724,seeded_draw
416,2188,2,5,502,223,,20260724,seeded_draw
417,603,1,8,150,75,,20260724,seeded_draw
418,2180,2,9,207,100,,20260724,seeded_draw
419,3010,2,8,456,215,,20260724,seeded_draw
420,600,1,9,456,195,,20260724,seeded_draw
421,4689,3,9,309,165,,20260724,seeded_draw
422,896,1,8,535,287,,20260724,seeded_draw
423,2117,2,9,192,96,,20260724,seeded_draw
424,4355,3,8,246,128,,20260724,seeded_draw
425,1046,1,7,580,293,,20260724,seeded_draw
426,2981,2,9,314,153,,20260724,seeded_draw
427,2128,2,9,356,181,,20260724,seeded_draw
428,4745,3,9,148,74,,20260724,seeded_draw
430,3018,2,9,157,76,,20260724,seeded_draw
432,2167,2,8,124,67,,20260724,seeded_draw
433,883,1,6,359,176,,20260724,seeded_draw
434,2108,2,3,431,214,,20260724,seeded_draw
435,238,1,2,476,234,,20260724,seeded_draw
436,2515,2,5,292,149,,20260724,seeded_draw
437,2152,2,6,286,145,,20260724,seeded_draw
438,4738,3,9,280,141,,20260724,seeded_draw
439,2939,2,6,407,200,,20260724,seeded_draw
440,2478,2,8,223,112,,20260724,seeded_draw
441,639,1,7,986,451,,20260724,seeded_draw
442,2934,2,6,459,224,,20260724,seeded_draw
443,772,1,6,960,420,,20260724,seeded_draw
444,518,1,9,222,114,,20260724,seeded_draw
445,2474,2,6,702,336,,20260724,seeded_draw
446,819,1,6,200,101,,20260724,seeded_draw
447,2402,2,5,503,195,,20260724,seeded_draw
448,3017,2,2,430,208,,20260724,seeded_draw
449,2602,2,2,189,95,,20260724,seeded_draw
450,3015,2,3,639,284,,20260724,seeded_draw
451,2605,2,4,195,96,,20260724,seeded_draw
452,2270,2,1,686,329,,20260724,seeded_draw
453,2616,2,3,271,135,,20260724,seeded_draw
454,2518,2,3,597,302,,20260724,seeded_draw
456,2985,2,2,173,93,,20260724,seeded_draw
457,2938,2,3,516,236,,20260724,seeded_draw
458,3019,2,3,659,316,,20260724,seeded_draw
459,2952,2,3,141,70,,20260724,seeded_draw
500,1140,1,2,193,77,,20260724,seeded_draw
501,1077,1,3,448,208,,20260724,seeded_draw
502,1068,1,2,305,152,,20260724,seeded_draw
503,1079,1,2,254,124,,20260724,seeded_draw
504,1162,1,1,358,177,,20260724,seeded_draw
505,1164,1,6,342,158,,20260724,seeded_draw
506,2624,2,5,248,119,,20260724,seeded_draw
507,1054,1,3,323,171,,20260724,seeded_draw
508,1056,1,3,291,146,,20260724,seeded_draw
509,1057,1,3,242,117,,20260724,seeded_draw
511,2626,2,5,284,147,,20260724,seeded_draw
512,998,1,2,552,246,,20260724,seeded_draw
513,935,1,2,198,93,,20260724,seeded_draw
514,995,1,2,206,105,,20260724,seeded_draw
515,173,1,2,363,173,,20260724,seeded_draw
516,2438,2,8,500,234,,20260724,seeded_draw
518,2781,2,7,294,143,,20260724,seeded_draw
523,982,1,3,281,160,,20260724,seeded_draw
524,994,1,3,479,276,,20260724,seeded_draw
525,113,1,3,525,249,,20260724,seeded_draw
526,1027,1,2,173,89,,20260724,seeded_draw
528,904,1,3,325,196,,20260724,seeded_draw
529,694,1,3,295,148,,20260724,seeded_draw
530,54,1,1,473,210,,20260724,seeded_draw
532,51,1,2,308,144,,20260724,seeded_draw
533,53,1,1,388,183,,20260724,seeded_draw
534,163,1,3,129,66,,20260724,seeded_draw
535,169,1,9,374,176,,20260724,seeded_draw
536,2956,2,5,154,76,,20260724,seeded_draw
537,4759,3,3,411,164,,20260724,seeded_draw
538,4076,3,6,363,187,,20260724,seeded_draw
539,84,1,2,200,97,,20260724,seeded_draw
540,168,1,1,453,201,,20260724,seeded_draw
541,717,1,2,384,180,,20260724,seeded_draw
542,929,1,1,324,149,,20260724,seeded_draw
543,2488,2,9,282,159,,20260724,seeded_draw
544,1094,1,8,373,178,,20260724,seeded_draw
545,1092,1,10,282,149,,20260724,seeded_draw
546,956,1,3,324,176,,20260724,seeded_draw
547,1074,1,3,553,272,,20260724,seeded_draw
548,1136,1,2,214,112,,20260724,seeded_draw
549,1089,1,1,424,191,,20260724,seeded_draw
550,1101,1,5,335,176,,20260724,seeded_draw
551,1005,1,5,230,113,,20260724,seeded_draw
556,1037,1,2,114,44,,20260724,seeded_draw
557,2618,2,1,109,54,,20260724,seeded_draw
558,1036,1,3,388,207,,20260724,seeded_draw
559,2958,2,3,128,64,,20260724,seeded_draw
561,2622,2,3,346,177,,20260724,seeded_draw
563,2848,2,5,121,81,,20260724,seeded_draw
565,4666,3,5,924,392,,20260724,seeded_draw
566,2288,2,6,376,183,,20260724,seeded_draw
567,2661,2,2,212,130,,20260724,seeded_draw
568,4074,3,7,298,148,,20260724,seeded_draw
569,2621,2,6,233,115,,20260724,seeded_draw
697,219,1,3,431,257,,20260724,seeded_draw
698,4489,3,10,368,171,,20260724,seeded_draw
699,2648,2,9,177,87,,20260724,seeded_draw
700,2058,2,6,771,322,,20260724,seeded_draw
701,2028,2,9,267,128,,20260724,seeded_draw
702,243,1,3,538,262,,20260724,seeded_draw
703,1016,1,9,252,126,,20260724,seeded_draw
704,2717,2,6,47,23,,20260724,seeded_draw
705,629,1,6,343,164,,20260724,seeded_draw
706,4039,3,9,145,73,,20260724,seeded_draw
707,245,1,6,433,197,,20260724,seeded_draw
708,4009,3,9,230,141,,20260724,seeded_draw
709,778,1,3,60,30,,20260724,seeded_draw
710,624,1,3,379,175,,20260724,seeded_draw
711,644,1,3,116,58,,20260724,seeded_draw
712,214,1,4,517,275,,20260724,seeded_draw
713,305,1,3,224,113,,20260724,seeded_draw
714,213,1,3,156,78,,20260724,seeded_draw
715,710,1,3,354,167,,20260724,seeded_draw
716,708,1,3,118,59,,20260724,seeded_draw
717,625,1,3,119,90,,20260724,seeded_draw
718,623,1,3,606,289,,20260724,seeded_draw
719,711,1,3,393,210,,20260724,seeded_draw
720,620,1,3,669,341,,20260724,seeded_draw
721,4650,3,9,557,289,,20260724,seeded_draw
722,2724,2,5,147,74,,20260724,seeded_draw
723,4119,3,9,389,202,,20260724,seeded_draw
724,2726,2,5,229,124,,20260724,seeded_draw
725,3026,2,5,209,105,,20260724,seeded_draw
726,289,1,9,354,174,,20260724,seeded_draw
727,2022,2,7,99,50,,20260724,seeded_draw
729,2369,2,9,241,121,,20260724,seeded_draw
730,4061,3,8,140,68,,20260724,seeded_draw
731,2010,2,6,268,132,,20260724,seeded_draw
732,2446,2,5,792,333,,20260724,seeded_draw
733,509,1,4,720,341,,20260724,seeded_draw
734,4421,3,9,221,123,,20260724,seeded_draw
735,919,1,9,546,268,,20260724,seeded_draw
736,4420,3,8,898,398,,20260724,seeded_draw
737,927,1,8,239,106,,20260724,seeded_draw
738,324,1,8,392,198,,20260724,seeded_draw
739,4419,3,9,414,197,,20260724,seeded_draw
740,506,1,8,516,273,,20260724,seeded_draw
741,4157,3,9,275,137,,20260724,seeded_draw
742,2041,2,7,302,151,,20260724,seeded_draw
744,157,1,6,557,255,,20260724,seeded_draw
745,766,1,9,307,175,,20260724,seeded_draw
746,4048,3,9,138,68,,20260724,seeded_draw
747,563,1,6,426,211,,20260724,seeded_draw
748,633,1,7,218,104,,20260724,seeded_draw
749,222,1,6,378,193,,20260724,seeded_draw
750,373,1,6,387,189,,20260724,seeded_draw
751,478,1,3,303,150,,20260724,seeded_draw
752,4560,3,9,171,86,,20260724,seeded_draw
753,393,1,7,504,244,,20260724,seeded_draw
754,2494,2,6,414,207,,20260724,seeded_draw
755,2036,2,9,259,130,,20260724,seeded_draw
756,221,1,1,676,333,,20260724,seeded_draw
757,4603,3,8,260,128,,20260724,seeded_draw
758,909,1,3,360,167,,20260724,seeded_draw
759,2707,2,9,260,150,,20260724,seeded_draw
760,4264,3,9,378,187,,20260724,seeded_draw
761,209,1,9,260,146,,20260724,seeded_draw
762,4040,3,6,146,72,,20260724,seeded_draw
763,592,1,3,268,134,,20260724,seeded_draw
764,2675,2,10,313,158,,20260724,seeded_draw
765,2676,2,7,344,173,,20260724,seeded_draw
766,2021,2,8,161,101,,20260724,seeded_draw
767,184,1,2,428,209,,20260724,seeded_draw
768,386,1,3,637,313,,20260724,seeded_draw
769,355,1,4,468,211,,20260724,seeded_draw
770,356,1,9,565,286,,20260724,seeded_draw
771,2038,2,5,363,177,,20260724,seeded_draw
772,4003,3,8,90,52,,20260724,seeded_draw
773,223,1,3,395,201,,20260724,seeded_draw
774,247,1,9,260,143,,20260724,seeded_draw
775,357,1,3,489,255,,20260724,seeded_draw
776,2039,2,6,533,259,,20260724,seeded_draw
777,385,1,3,564,274,,20260724,seeded_draw
778,491,1,2,370,177,,20260724,seeded_draw
779,2099,2,6,377,183,,20260724,seeded_draw
780,2111,2,6,344,191,,20260724,seeded_draw
781,246,1,9,298,157,,20260724,seeded_draw
782,2492,2,6,384,191,,20260724,seeded_draw
783,332,1,7,459,231,,20260724,seeded_draw
784,781,1,7,597,276,,20260724,seeded_draw
785,2456,2,6,166,82,,20260724,seeded_draw
786,911,1,3,330,183,,20260724,seeded_draw
787,235,1,3,306,149,,20260724,seeded_draw
788,4755,3,11,78,41,,20260724,seeded_draw
789,4058,3,7,165,82,,20260724,seeded_draw
790,892,1,1,312,165,,20260724,seeded_draw
791,2114,2,9,304,151,,20260724,seeded_draw
792,2678,2,9,384,184,,20260724,seeded_draw
794,503,1,3,261,123,,20260724,seeded_draw
795,673,1,6,218,121,,20260724,seeded_draw
796,2449,2,6,344,171,,20260724,seeded_draw
797,4041,3,9,367,165,,20260724,seeded_draw
798,4164,3,8,137,68,,20260724,seeded_draw
799,2354,2,10,187,93,,20260724,seeded_draw
800,726,1,3,706,329,,20260724,seeded_draw
801,365,1,2,289,136,,20260724,seeded_draw
802,2217,2,6,401,194,,20260724,seeded_draw
803,4425,3,6,460,212,,20260724,seeded_draw
804,2158,2,6,255,123,,20260724,seeded_draw
805,4505,3,6,156,79,,20260724,seeded_draw
806,4098,3,6,83,40,,20260724,seeded_draw
807,4488,3,6,291,168,,20260724,seeded_draw
808,2131,2,2,712,364,,20260724,seeded_draw
809,2067,2,6,372,184,,20260724,seeded_draw
810,2066,2,6,329,167,,20260724,seeded_draw
811,2133,2,6,591,298,,20260724,seeded_draw
812,2653,2,5,182,105,,20260724,seeded_draw
813,4067,3,7,670,320,,20260724,seeded_draw
814,2739,2,3,412,199,,20260724,seeded_draw
815,2112,2,6,553,253,,20260724,seeded_draw
816,4032,3,6,189,94,,20260724,seeded_draw
817,2169,2,6,424,203,,20260724,seeded_draw
818,4020,3,6,328,169,,20260724,seeded_draw
819,2063,2,3,623,310,,20260724,seeded_draw
820,2523,2,3,273,135,,20260724,seeded_draw
821,2219,2,5,353,164,,20260724,seeded_draw
822,2465,2,3,116,57,,20260724,seeded_draw
823,4194,3,6,259,127,,20260724,seeded_draw
824,4132,3,5,698,303,,20260724,seeded_draw
825,2065,2,5,206,1,,20260724,seeded_draw
826,4015,3,6,293,143,,20260724,seeded_draw
827,4332,3,3,323,196,,20260724,seeded_draw
828,4237,3,3,538,245,,20260724,seeded_draw
829,4096,3,4,456,219,,20260724,seeded_draw
830,4663,3,3,779,298,,20260724,seeded_draw
831,4456,3,1,345,185,,20260724,seeded_draw
832,4080,3,5,176,87,,20260724,seeded_draw
833,4485,3,3,209,115,,20260724,seeded_draw
