legacy_id,legacy_file,sha256,obsid,match,collides_with_obsid,teacher_id,year,n_codeable_turns
329,329_original.csv,ce5e409482393b51ac6556e3cc10d2f0514bb37e2052d0692a0cdae200b8475b,2531,unique,False,329,2,202
330,330_original.csv,691129686d811fbbc02f7c3f1047cf72ee6bc84e4c05420bb2ac3fd339d99c5c,56,unique,True,330,1,242
331,331_original.csv,879091d52d60d5984254347a82a33d992801d9c5a09ae0283adab11036bb1341,1146,unique,True,331,1,364
332,332_original.csv,14b4f86aabf2a77b54c5a754e6691a412d4e2e01877aa25e64a7ccc7c26fb359,2595,unique,True,332,2,711
333,333_original.csv,65b5d5a85086d900ae46fd74349428676c4afd0133ea3bb3e775f1307dfb0e2e,447,unique,True,333,1,211
334,334_original.csv,bb52cff782f8340bc75ef4c51e26cf4bcfd64432d922788b7e0518085074494b,2783,unique,True,334,2,219
335,335_original.csv,9de9eb5a7cfde6789f953415e77c5c0f47cce9423e38d06313e58edfaf5776be,434,unique,True,335,1,366
336,336_original.csv,a37d3ac90a1530d15975217e2c21ea5106149003e01577acc6180047b8ffc1da,131,unique,True,336,1,207
337,337_original.csv,57160e0379f02c42d2e0400120d574da68a016edb529142812706362b7dd9914,2561,unique,True,337,2,215
338,338_original.csv,96973c8676da712260b13ec7ce9f4b6cc8511d180df15bf4497db8c0e05b6339,2389,unique,True,338,2,604
339,339_original.csv,0fecccf13b22578ef176eedf4ae4ef598bf7f17a86b7cbc06b46813725bdb6ad,465,unique,True,339,1,466
340,340_original.csv,fbf549572cf5069931ae4f9f6bfa80be4b3cdf26ac177b49d14c67530a27fbcd,24,unique,False,340,1,488
341,341_original.csv,70ca2fe7a62978a8823d7d7e2c2abb76aa701fce00c2ff6493165ac474dce21a,2789,unique,False,341,2,611
342,342_original.csv,05d8c636b229983f4a0df4f46fd9333a7ce62b7a352be823fb63b78d1ee65988,206,unique,False,342,1,415
343,343_original.csv,732269978a4613ae33f7964cf722d8feff96b05ad6ae8909460ebb5debbb82b1,1147,unique,False,343,1,392
344,344_original.csv,edc065a9a99fca1fb8c6b317a98a9bb7f319cbc4de0139d9883d6f1d8c83cef4,2571,unique,False,344,2,588
345,345_original.csv,90b72d8f63113e5dd3be3edbb1409f1e3c5aac7920c87d4205802b5638c5576d,2397,unique,False,345,2,477
346,346_original.csv,cc3fd12cd356c726442376392725cbf8980c8f74916ae7ba6a93b087120b06e5,76,unique,False,346,1,576
347,347_original.csv,9ba8c7cad29cef0dea83d650829d2c5bd83bbaffc0c9ddba8a3e38099881785a,225,unique,False,347,1,362
348,348_original.csv,7a4b81fa580f9951b96c59fe00439e2ec9668f86b705124d803288bb7097d1fa,2592,unique,False,348,2,640
349,349_original.csv,e0feae99ca0366a696fb0a5e6bc75423e070e2e6f485a1cb84041ac5a10f825d,2761,unique,False,349,2,191
350,350_original.csv,49cfe926f7c3a34a186d4362e4482e622549df90ef00032123e0c5236da3c8f6,4598,unique,False,350,3,117
351,351_original.csv,f12fecc267a802a5c605f232ccbf5b91a674ba616d64485c9f8f12dbf4e440fe,2765,unique,False,351,2,190
352,352_original.csv,e2675fecb2afe19a905a4356830809780c58833af9647e4c14a2b6419f75ab87,4678,unique,False,352,3,145
543,543_original.csv,e26a61308dbef08d664cc1d69fe3f960c695bab7426ac60b18674ac02d63b2bc,,unmatched,False,,,
706,706_original.csv,0aec4928c192693c7f664b36274cf74018802229b0e826237f16293328471d2b,,unmatched,False,,,
